host_id,host_name,is_superhost
438674,Mary,1.0
439154,Lucy,0.0
439487,Stephen And Luiza,0.0
440792,Ivan,0.0
441384,Veronika,0.0
441494,Fernando,1.0
441736,Kris,0.0
441886,Will And Emilia,1.0
443041,Carol,1.0
443252,Khateja,0.0
445273,Denise,0.0
445322,Richard,0.0
447398,Stefano,0.0
447486,Mary,0.0
453179,Humza,1.0
453474,Bartek,0.0
454121,Caroline,1.0
454329,Max,1.0
455616,Lucy,1.0
455910,Angie,1.0
457032,Shan,0.0
458166,Gemma,1.0
459160,Anne,1.0
459562,Daniel,1.0
460272,Antonia Clare,1.0
460342,Abbie,0.0
462573,Cleyenne,0.0
462601,Elsie,1.0
462651,Maria,0.0
464013,Ronald,0.0
464571,Sonia,1.0
464701,Jeanene,0.0
465092,Alexander,0.0
465254,Fernando,0.0
465560,Elaine,0.0
466353,Elisabetta,1.0
467692,Sue,0.0
467757,James,1.0
469180,Sam,0.0
469802,Hayley,0.0
471088,Anthony,1.0
471709,Rob,0.0
471716,Andrea,1.0
472472,Jay,0.0
472474,Amy  Gabriella,1.0
474213,Elicia,0.0
475515,Kate,0.0
475668,Karen,1.0
476018,Zoe,0.0
478692,Scion Property Management Ltd,1.0
480315,Marianne,0.0
480766,Andrew,0.0
481379,Marc,0.0
481558,Olivia,1.0
481587,Angela,0.0
483016,Carl,0.0
486509,Farina,1.0
488174,Flora,0.0
488383,Kate,0.0
488581,Emily,0.0
490291,Ingrid,0.0
492218,Richard And Sarah,1.0
492505,Chanthira,0.0
493005,Daniel,0.0
493276,A Nick,0.0
493497,Clive,0.0
494637,Warren,0.0
497061,Klaudija,0.0
497366,Helen,1.0
497537,Maria,0.0
499662,Sarita,0.0
499704,Sarah,0.0
500026,Jordan,0.0
501973,Francine,0.0
502491,Julie,0.0
502496,Darshi Rowan And Tara,0.0
502537,Marie,0.0
505353,Caz,0.0
506457,Katie,1.0
506680,Emily,0.0
509260,Dalila,0.0
511706,Sarah,0.0
512617,Hena,0.0
512914,Zoe,1.0
513986,Rishi,1.0
515057,David,0.0
516216,Caroline,0.0
518433,Tomasz,1.0
519526,Tawan,0.0
519891,Alicja,0.0
520059,Belinda,0.0
524086,Dominique,0.0
524986,Alexa,0.0
525124,Normi,1.0
525244,Jo,0.0
526137,Ross,0.0
528140,Jason,0.0
528468,Tina,1.0
529231,Adele,0.0
529838,Christopher,0.0
531156,Sarika,0.0
533152,Lisa,0.0
533524,De,0.0
534069,Michael,0.0
534268,Florence,0.0
534850,Katie,0.0
536025,Anne,1.0
536129,Brooke,0.0
537289,Katerina Daphne,0.0
539239,Tony,1.0
543277,Joseph,1.0
544525,Amer,0.0
545890,Henry,0.0
546408,Jean-Marie,0.0
546445,Hannah,0.0
546652,Irma,0.0
547952,Freya,0.0
549372,Susanne,1.0
550328,Oliver,1.0
554479,Lucienne,0.0
554519,Meg,1.0
558928,Daniel,0.0
560020,Hendrik,1.0
561870,Madame D,1.0
562501,Pim,0.0
563563,Tania,0.0
564224,Jenny Eaton,0.0
565329,Giorgio,0.0
566542,Glyn,1.0
568536,Petica,0.0
569732,Sarah,0.0
570672,Anand,0.0
575308,Lesley,0.0
577156,Aaron,1.0
578110,Muay,0.0
578672,Warin,0.0
581329,Mike,0.0
584454,Igor,0.0
584691,Claire,1.0
585345,David,0.0
586654,Brent,1.0
586671,Joe,0.0
587948,Hagai,0.0
588534,Rami,1.0
589801,Jocelyn,1.0
591106,China,0.0
591734,Simon,0.0
593458,Valentina,0.0
595560,Oh Hotels,0.0
595797,Sophie,0.0
598337,Dejan,0.0
602041,Sinra,1.0
603057,Roongroj,1.0
604004,Maureen,0.0
608373,Noely,0.0
610315,Kasem,0.0
612455,Michael,0.0
624275,Sally,0.0
626630,Kellie,0.0
627999,Mark,0.0
628008,Graham,1.0
632059,Hisham,0.0
632358,Ken,0.0
632948,Nicholas,1.0
637992,Fiona,1.0
641411,Ella,0.0
645767,Cédric,0.0
646165,Yevgeniy,1.0
648725,Michele,0.0
651124,Joel,0.0
651366,Jai,0.0
656399,Tod,0.0
665721,Paul And Stephanie,1.0
667649,Chrysothemis & Luke,0.0
667776,Su,1.0
669052,Hannah,0.0
669109,Alexander,0.0
669357,Deve,1.0
669931,Piya,0.0
675616,Eric,0.0
676063,Helen,1.0
676180,Williams,0.0
684191,Samir,0.0
685865,Gabby,0.0
685892,Zozi,0.0
687943,Andrea,1.0
689052,Virginia,1.0
689471,Patrick,1.0
691827,Clay,1.0
692474,Aim,1.0
694198,Yasmin,0.0
695349,Family Team,1.0
695847,Ozgur,0.0
696065,Tania,0.0
697382,Isabela,0.0
699499,Jirarat,0.0
703944,Parinya,0.0
704466,Clare,1.0
704996,Ben,0.0
706048,Marcia,0.0
713630,Eric,0.0
714434,Rusty,1.0
717339,Maria,0.0
719504,Devindra,0.0
719747,Ilko,0.0
727275,Mim,0.0
729617,Kanchuya,0.0
733574,Tobias,1.0
737373,Iri,1.0
737801,Tish,0.0
737897,Jawad,0.0
738949,Clare,0.0
739226,Dario,1.0
741947,Wynth Cordova,0.0
753542,Agilson,0.0
753961,Barry,0.0
757377,Eilinn,0.0
760101,Kate,0.0
760481,Sasha,0.0
761400,Nathan,1.0
761655,Adriana,0.0
762528,Piya,0.0
763015,Adam,0.0
764740,James,0.0
766056,Trevor,1.0
766237,Eduard,1.0
769488,Reya,0.0
769509,Anna Louise,1.0
772940,Denis,1.0
772970,Vh,1.0
773437,Gabriele,0.0
774165,Kim,0.0
774358,Seli,1.0
775611,Malika,1.0
775624,Kathe,1.0
777501,Chris,0.0
777723,Esteban,0.0
777801,Alex,1.0
779303,Maria Sole,0.0
779877,Mel,0.0
780339,Jess,0.0
781429,Chris,0.0
783627,Siobhan,1.0
784078,Stijn,0.0
786743,Kimberly,1.0
787746,Pummy,0.0
788797,Bliss,1.0
790138,Tony,0.0
791774,Francesca,0.0
793088,Màirianne,1.0
795867,Nathan,1.0
797923,Kany,0.0
799511,Kathleen,0.0
800096,Claudia,1.0
800558,⁨Kim (金)⁩,0.0
802297,Alexandra,1.0
803951,Fawad,0.0
807369,Jacob,0.0
807406,Hollis,0.0
